# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05469e-05 to 8.92137 h/Mpc,
# number of wavenumbers equal to 2527
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.596330738259e-03      -9.796203269248e-01      -2.607531004691e+00      -2.607888830438e+00      -7.064276703099e-02      -9.688568071469e-01      -2.594022001098e+00       5.882705349223e-01       5.881466746368e-01      -1.170544038397e-03      -2.890329071603e-07      -7.860705686707e-10      -1.182487106242e-03      -5.085693161209e-06 
       1.603699066162e-03      -9.771693307898e-01      -2.631300177090e+00      -2.631664320029e+00      -7.128526314061e-02      -9.664346292101e-01      -2.617634223376e+00       5.881735761070e-01       5.880560403041e-01      -1.183178899308e-03      -2.923554175459e-07      -8.005669347634e-10      -1.195192486919e-03      -5.140517030805e-06 
       1.611101404721e-03      -9.746338758484e-01      -2.655283276665e+00      -2.655653845953e+00      -7.193352374863e-02      -9.639315282666e-01      -2.641458808088e+00       5.880760588421e-01       5.879647829651e-01      -1.195878289326e-03      -2.956885043001e-07      -8.153297360054e-10      -1.207962001564e-03      -5.195618592861e-06 
       1.618537910922e-03      -9.720145790955e-01      -2.679482187017e+00      -2.679859293913e+00      -7.258759947944e-02      -9.613481832992e-01      -2.665497630426e+00       5.879779818309e-01       5.878729001024e-01      -1.208640913400e-03      -2.990348193031e-07      -8.303638475327e-10      -1.220794535798e-03      -5.250993019137e-06 
       1.626008742477e-03      -9.693123229584e-01      -2.703898805297e+00      -2.704282565870e+00      -7.324754137311e-02      -9.586853280838e-01      -2.689752581892e+00       5.878793439016e-01       5.877803893466e-01      -1.221464312505e-03      -3.024179909007e-07      -8.456742332172e-10      -1.233688952222e-03      -5.306635714690e-06 
       1.633514057823e-03      -9.665276572342e-01      -2.728535046617e+00      -2.728925576352e+00      -7.391340084673e-02      -9.559437508016e-01      -2.714225566741e+00       5.877801429362e-01       5.876872472988e-01      -1.234348515597e-03      -3.058147002240e-07      -8.612659460722e-10      -1.246644094414e-03      -5.362541137980e-06 
       1.641054016131e-03      -9.636614030938e-01      -2.753392846463e+00      -2.753790263396e+00      -7.458522993241e-02      -9.531242959368e-01      -2.738918512692e+00       5.876803784885e-01       5.875934722957e-01      -1.247292163637e-03      -3.092275197360e-07      -8.771441334033e-10      -1.259658785732e-03      -5.418704176407e-06 
       1.648628777305e-03      -9.607144413933e-01      -2.778474151068e+00      -2.778878573637e+00      -7.526308085432e-02      -9.502278630187e-01      -2.763833356524e+00       5.875800484987e-01       5.874990610700e-01      -1.260293547410e-03      -3.126642023300e-07      -8.933140335584e-10      -1.272731829747e-03      -5.475119592782e-06 
       1.656238501988e-03      -9.576876934090e-01      -2.803780923039e+00      -2.804192476213e+00      -7.594700652413e-02      -9.472554114163e-01      -2.788972056583e+00       5.874791519816e-01       5.874040114280e-01      -1.273351478240e-03      -3.161238742666e-07      -9.097809819782e-10      -1.285862012567e-03      -5.531782105952e-06 
       1.663883351564e-03      -9.545820891842e-01      -2.829315144829e+00      -2.829733952961e+00      -7.663706010693e-02      -9.442079562744e-01      -2.814336585022e+00       5.873776872782e-01       5.873083204965e-01      -1.286464853096e-03      -3.196022973132e-07      -9.265504099435e-10      -1.299048103489e-03      -5.588686114206e-06 
