# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.706363398195e-05      -4.201156080780e-04      -3.151330923576e-04      -3.151330966914e-04      -4.201147830190e-04      -3.154607109614e-04       6.014624960310e-01       5.995325272020e-01 
       1.716214341596e-05      -4.249795828335e-04      -3.187821538612e-04      -3.187821582960e-04      -4.249787385582e-04      -3.191135638709e-04       6.014624737801e-01       5.995325099165e-01 
       1.726122155115e-05      -4.298998628216e-04      -3.224734694549e-04      -3.224734739930e-04      -4.298989988821e-04      -3.228087147207e-04       6.014624515271e-01       5.995324925630e-01 
       1.736087167065e-05      -4.348770993758e-04      -3.262075282248e-04      -3.262075328685e-04      -4.348762153150e-04      -3.265466531036e-04       6.014624288958e-01       5.995324747660e-01 
       1.746109707657e-05      -4.399119516454e-04      -3.299848251319e-04      -3.299848298838e-04      -4.399110469940e-04      -3.303278744928e-04       6.014624059080e-01       5.995324567021e-01 
       1.756190109007e-05      -4.450050865712e-04      -3.338058609966e-04      -3.338058658592e-04      -4.450041608502e-04      -3.341528802272e-04       6.014623829127e-01       5.995324388837e-01 
       1.766328705150e-05      -4.501571783575e-04      -3.376711420992e-04      -3.376711470750e-04      -4.501562310757e-04      -3.380221771112e-04       6.014623594662e-01       5.995324205303e-01 
       1.776525832046e-05      -4.553689093467e-04      -3.415811808397e-04      -3.415811859315e-04      -4.553679400021e-04      -3.419362780751e-04       6.014623357462e-01       5.995324019953e-01 
       1.786781827599e-05      -4.606409697213e-04      -3.455364955124e-04      -3.455365007228e-04      -4.606399777999e-04      -3.458957019497e-04       6.014623117707e-01       5.995323831739e-01 
       1.797097031660e-05      -4.659740575598e-04      -3.495376103493e-04      -3.495376156811e-04      -4.659730425359e-04      -3.499009735096e-04       6.014622875178e-01       5.995323642305e-01 
       1.807471786044e-05      -4.713688791685e-04      -3.535850557687e-04      -3.535850612246e-04      -4.713678405036e-04      -3.539526237220e-04       6.014622631213e-01       5.995323453444e-01 
       1.817906434539e-05      -4.768261487367e-04      -3.576793681179e-04      -3.576793737009e-04      -4.768250858816e-04      -3.580511894891e-04       6.014622383354e-01       5.995323259158e-01 
       1.828401322917e-05      -4.823465890334e-04      -3.618210901935e-04      -3.618210959065e-04      -4.823455014238e-04      -3.621972141692e-04       6.014622133258e-01       5.995323064626e-01 
       1.838956798946e-05      -4.879309308951e-04      -3.660107708613e-04      -3.660107767074e-04      -4.879298179546e-04      -3.663912471962e-04       6.014621879320e-01       5.995322866283e-01 
       1.849573212404e-05      -4.935799138669e-04      -3.702489655359e-04      -3.702489715181e-04      -4.935787750066e-04      -3.706338445592e-04       6.014621622919e-01       5.995322666024e-01 
       1.860250915086e-05      -4.992942858026e-04      -3.745362358791e-04      -3.745362420006e-04      -4.992931204185e-04      -3.749255685010e-04       6.014621362281e-01       5.995322461480e-01 
       1.870990260817e-05      -5.050748035152e-04      -3.788731502917e-04      -3.788731565558e-04      -5.050736109892e-04      -3.792669880107e-04       6.014621099789e-01       5.995322256743e-01 
       1.881791605469e-05      -5.109222323029e-04      -3.832602835566e-04      -3.832602899667e-04      -5.109210120032e-04      -3.836586784656e-04       6.014620834348e-01       5.995322049316e-01 
       1.892655306963e-05      -5.168373463612e-04      -3.876982171475e-04      -3.876982237069e-04      -5.168360976399e-04      -3.881012219409e-04       6.014620565071e-01       5.995321837574e-01 
       1.903581725291e-05      -5.228209289845e-04      -3.921875393835e-04      -3.921875460956e-04      -5.228196511798e-04      -3.925952073640e-04       6.014620293872e-01       5.995321625789e-01 
       1.914571222520e-05      -5.288737722790e-04      -3.967288452109e-04      -3.967288520794e-04      -5.288724647143e-04      -3.971412302969e-04       6.014620019095e-01       5.995321412404e-01 
       1.925624162809e-05      -5.349966776286e-04      -4.013227365536e-04      -4.013227435820e-04      -5.349953396098e-04      -4.017398932857e-04       6.014619739994e-01       5.995321194267e-01 
       1.936740912418e-05      -5.411904559452e-04      -4.059698225037e-04      -4.059698296959e-04      -5.411890867628e-04      -4.063918060525e-04       6.014619459613e-01       5.995320974271e-01 
       1.947921839724e-05      -5.474559269599e-04      -4.106707187904e-04      -4.106707261502e-04      -5.474545258897e-04      -4.110975849632e-04       6.014619174912e-01       5.995320753061e-01 
       1.959167315227e-05      -5.537939202991e-04      -4.154260485819e-04      -4.154260561130e-04      -5.537924865982e-04      -4.158578538301e-04       6.014618886547e-01       5.995320528218e-01 
       1.970477711569e-05      -5.602052750866e-04      -4.202364421941e-04      -4.202364499007e-04      -5.602038079946e-04      -4.206732436211e-04       6.014618594787e-01       5.995320300175e-01 
       1.981853403541e-05      -5.666908402071e-04      -4.251025372875e-04      -4.251025451736e-04      -5.666893389480e-04      -4.255443926557e-04       6.014618300945e-01       5.995320071044e-01 
       1.993294768100e-05      -5.732514741072e-04      -4.300249787121e-04      -4.300249867819e-04      -5.732499378820e-04      -4.304719464507e-04       6.014618001987e-01       5.995319837013e-01 
       2.004802184377e-05      -5.798880454972e-04      -4.350044190458e-04      -4.350044273035e-04      -5.798864734934e-04      -4.354565582583e-04       6.014617700534e-01       5.995319601593e-01 
       2.016376033694e-05      -5.866014329223e-04      -4.400415182633e-04      -4.400415267134e-04      -5.865998243072e-04      -4.404988887356e-04       6.014617395737e-01       5.995319361869e-01 
       2.028016699571e-05      -5.933925249961e-04      -4.451369439155e-04      -4.451369525624e-04      -5.933908789164e-04      -4.455996061232e-04       6.014617086255e-01       5.995319119897e-01 
       2.039724567747e-05      -6.002622210606e-04      -4.502913716264e-04      -4.502913804747e-04      -6.002605366445e-04      -4.507593867434e-04       6.014616775549e-01       5.995318878751e-01 
       2.051500026182e-05      -6.072114300798e-04      -4.555054842608e-04      -4.555054933153e-04      -6.072097064339e-04      -4.559789141667e-04       6.014616458530e-01       5.995318630769e-01 
       2.063343465082e-05      -6.142410724285e-04      -4.607799732700e-04      -4.607799825353e-04      -6.142393086393e-04      -4.612588805588e-04       6.014616140040e-01       5.995318382119e-01 
       2.075255276900e-05      -6.213520782742e-04      -4.661155374759e-04      -4.661155469571e-04      -6.213502734070e-04      -4.665999854636e-04       6.014615816122e-01       5.995318128845e-01 
       2.087235856358e-05      -6.285453892586e-04      -4.715128843335e-04      -4.715128940355e-04      -6.285435423553e-04      -4.720029370670e-04       6.014615489745e-01       5.995317874171e-01 
       2.099285600456e-05      -6.358219573573e-04      -4.769727290788e-04      -4.769727390068e-04      -6.358200674402e-04      -4.774684513440e-04       6.014615159001e-01       5.995317615815e-01 
       2.111404908486e-05      -6.431827458469e-04      -4.824957954507e-04      -4.824958056100e-04      -6.431808119141e-04      -4.829972527809e-04       6.014614824433e-01       5.995317354342e-01 
