### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  8.93917	2.18943e-05	2.36029e-06	 (32 , 32 , 32) 
  8.95333	2.1082e-05	2.21333e-06	 (32 , 32 , 32) 
  8.96693	2.02965e-05	2.07475e-06	 (32 , 32 , 32) 
  8.97998	1.95373e-05	1.94411e-06	 (32 , 32 , 32) 
  8.99252	1.88038e-05	1.82101e-06	 (32 , 32 , 32) 
  9.00455	1.80954e-05	1.70508e-06	 (32 , 32 , 32) 
   9.0161	1.74114e-05	1.59593e-06	 (32 , 32 , 32) 
  9.02719	1.67512e-05	1.49323e-06	 (32 , 32 , 32) 
  9.03784	1.61142e-05	1.39664e-06	 (32 , 32 , 32) 
  9.04806	1.54997e-05	1.30582e-06	 (32 , 32 , 32) 
  9.05787	1.49071e-05	1.22048e-06	 (32 , 32 , 32) 
  9.06729	1.43357e-05	1.14032e-06	 (32 , 32 , 32) 
  9.07633	1.3785e-05	1.06506e-06	 (32 , 32 , 32) 
  9.08501	1.32543e-05	9.9443e-07	 (32 , 32 , 32) 
  9.09335	1.27429e-05	9.28175e-07	 (32 , 32 , 32) 
  9.10135	1.22504e-05	8.66051e-07	 (32 , 32 , 32) 
  9.10903	1.1776e-05	8.07826e-07	 (32 , 32 , 32) 
   9.1164	1.13191e-05	7.53278e-07	 (32 , 32 , 32) 
  9.12348	1.08793e-05	7.02196e-07	 (32 , 32 , 32) 
  9.13028	1.0456e-05	6.54379e-07	 (32 , 32 , 32) 
   9.1368	1.00485e-05	6.09638e-07	 (32 , 32 , 32) 
  9.14307	9.6563e-06	5.6779e-07	 (32 , 32 , 32) 
  9.14908	9.27897e-06	5.28664e-07	 (32 , 32 , 32) 
  9.15485	8.91593e-06	4.92097e-07	 (32 , 32 , 32) 
  9.16039	8.56669e-06	4.57934e-07	 (32 , 32 , 32) 
  9.16571	8.23076e-06	4.26029e-07	 (32 , 32 , 32) 
  9.17082	7.90767e-06	3.96244e-07	 (32 , 32 , 32) 
