# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.80813
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.671563488162e-04      -1.661741485219e+00      -1.247325851182e+00      -1.247326124357e+00      -1.213065056018e-01      -1.661701276787e+00      -1.234357268524e+00       5.995903884192e-01       5.984096656847e-01       1.475432749291e-05       1.542342772908e-05       1.542366713545e-05       1.542366694143e-05       1.472350915924e-05       1.542181875860e-05 
       1.750341848334e-04      -1.667473599960e+00      -1.251829904712e+00      -1.251830232873e+00      -1.214265142707e-01      -1.667425342555e+00      -1.238810109495e+00       5.995712179855e-01       5.983942089628e-01       1.610788702014e-05       1.691106669380e-05       1.691135418232e-05       1.691135394875e-05       1.607091150226e-05       1.690913541662e-05 
       1.832832918239e-04      -1.673732194777e+00      -1.256769922804e+00      -1.256770328217e+00      -1.215581223837e-01      -1.673674222635e+00      -1.243693915154e+00       5.995496557417e-01       5.983767107738e-01       1.757812233131e-05       1.854214027499e-05       1.854248572144e-05       1.854248544028e-05       1.753375883544e-05       1.853982260073e-05 
       1.919211672495e-04      -1.680553092759e+00      -1.262180910078e+00      -1.262181394659e+00      -1.217022625513e-01      -1.680483555026e+00      -1.249043257439e+00       5.995278375967e-01       5.983593346246e-01       1.917368308875e-05       2.033050868285e-05       2.033092339866e-05       2.033092306032e-05       1.912047995936e-05       2.032772765074e-05 
       2.009661332022e-04      -1.687997954358e+00      -1.268118935673e+00      -1.268119519195e+00      -1.218603988095e-01      -1.687914531866e+00      -1.254913563076e+00       5.995021626328e-01       5.983385167012e-01       2.090328368415e-05       2.229127816946e-05       2.229177602593e-05       2.229177561874e-05       2.083948989960e-05       2.228794167300e-05 
       2.104373752675e-04      -1.696105962008e+00      -1.274625079138e+00      -1.274625778714e+00      -1.220337518389e-01      -1.696005927349e+00      -1.261345416780e+00       5.994755113668e-01       5.983171718556e-01       2.277612666003e-05       2.444111099190e-05       2.444170856695e-05       2.444170807702e-05       2.269965881051e-05       2.443710903024e-05 
       2.203549832195e-04      -1.704946454650e+00      -1.281765432058e+00      -1.281766271639e+00      -1.222238924892e-01      -1.704826517578e+00      -1.268404132239e+00       5.994439953392e-01       5.982914548750e-01       2.480124686654e-05       2.679814827293e-05       2.679886537034e-05       2.679886478078e-05       2.470960843840e-05       2.679334892708e-05 
       2.307399936344e-04      -1.714562925250e+00      -1.289589345940e+00      -1.289590353632e+00      -1.224322745770e-01      -1.714419164804e+00      -1.276138465379e+00       5.994110782151e-01       5.982648698704e-01       2.698804714313e-05       2.938241784937e-05       2.938327823597e-05       2.938327752666e-05       2.687826478089e-05       2.937666380040e-05 
       2.416144345116e-04      -1.725025127100e+00      -1.298169198160e+00      -1.298170407500e+00      -1.226608147213e-01      -1.724852862665e+00      -1.284619930242e+00       5.993744521222e-01       5.982351561937e-01       2.934556049223e-05       3.221577356090e-05       3.221680575627e-05       3.221680490294e-05       2.921408677376e-05       3.220887681723e-05 
       2.530013719983e-04      -1.736390452728e+00      -1.307572001894e+00      -1.307573453250e+00      -1.229113114057e-01      -1.736184099924e+00      -1.293914727173e+00       5.993357001714e-01       5.982039464008e-01       3.188263344326e-05       3.532223509719e-05       3.532347318371e-05       3.532347215726e-05       3.172524407931e-05       3.531397131742e-05 
       2.649249593155e-04      -1.748741008188e+00      -1.317887984503e+00      -1.317889725895e+00      -1.231860092104e-01      -1.748493899305e+00      -1.304111996276e+00       5.992909526266e-01       5.981674263479e-01       3.460721411334e-05       3.872799500305e-05       3.872947946854e-05       3.872947823372e-05       3.441887240992e-05       3.871809590086e-05 
       2.774104879905e-04      -1.762134459941e+00      -1.329194457898e+00      -1.329196547081e+00      -1.234871544143e-01      -1.761838664484e+00      -1.315288098531e+00       5.992431966997e-01       5.981286382825e-01       3.752686647911e-05       4.246196588291e-05       4.246374547742e-05       4.246374399214e-05       3.730159095312e-05       4.245011240314e-05 
       2.904844415035e-04      -1.776648333811e+00      -1.341590266110e+00      -1.341592772054e+00      -1.238173364698e-01      -1.776294410931e+00      -1.327540665630e+00       5.991909853483e-01       5.980861969837e-01       4.064758630204e-05       4.655570110076e-05       4.655783394890e-05       4.655783216248e-05       4.037826871312e-05       4.654151297914e-05 
       3.041745514630e-04      -1.792357951397e+00      -1.355180605826e+00      -1.355183610954e+00      -1.241792352692e-01      -1.791934665035e+00      -1.340973590128e+00       5.991337614004e-01       5.980396130164e-01       4.397362350064e-05       5.104378180565e-05       5.104633724339e-05       5.104633509486e-05       4.365182356796e-05       5.102680621423e-05 
       3.185098564275e-04      -1.809339007970e+00      -1.370079624711e+00      -1.370083227224e+00      -1.245760279815e-01      -1.808833029084e+00      -1.355699596700e+00       5.990713540053e-01       5.979887810016e-01       4.750726441557e-05       5.596417161544e-05       5.596723222213e-05       5.596722963819e-05       4.712298919101e-05       5.594387043537e-05 
       3.335207635008e-04      -1.827669605197e+00      -1.386414482772e+00      -1.386418800340e+00      -1.250110776416e-01      -1.827065116482e+00      -1.371844247219e+00       5.990028584720e-01       5.979328698902e-01       5.124777700697e-05       6.135842586318e-05       6.136209033605e-05       6.136208722861e-05       5.078919599416e-05       6.133416024039e-05 
       3.492391128294e-04      -1.847418771840e+00      -1.404318389336e+00      -1.404323562479e+00      -1.254879959496e-01      -1.846697048971e+00      -1.389539054459e+00       5.989293450083e-01       5.978730259470e-01       5.519100475922e-05       6.727216048578e-05       6.727654610688e-05       6.727654237014e-05       5.464415377827e-05       6.724317270650e-05 
       3.656982451396e-04      -1.868673222658e+00      -1.423952873674e+00      -1.423959066083e+00      -1.260109038942e-01      -1.867812100504e+00      -1.408943489810e+00       5.988467926973e-01       5.978053095478e-01       5.932782404319e-05       7.375512651550e-05       7.376037276551e-05       7.376036827191e-05       5.867620666693e-05       7.372051844183e-05 
       3.829330724578e-04      -1.891487079076e+00      -1.445473134752e+00      -1.445480551038e+00      -1.265840734495e-01      -1.890460372972e+00      -1.430210735813e+00       5.987580701941e-01       5.977326723746e-01       6.364433042226e-05       8.086216655648e-05       8.086843941790e-05       8.086843401455e-05       6.286856006591e-05       8.082087664177e-05 
       4.009801521634e-04      -1.915928386848e+00      -1.469065559369e+00      -1.469074333559e+00      -1.272124800286e-01      -1.914705735546e+00      -1.453524662888e+00       5.986609666001e-01       5.976529887492e-01       6.811967880693e-05       8.865315608909e-05       8.866065035175e-05       8.866064385463e-05       6.719700125413e-05       8.860392899734e-05 
       4.198777645321e-04      -1.942050008846e+00      -1.494929623733e+00      -1.494940244275e+00      -1.279011473927e-01      -1.940594100181e+00      -1.479082367172e+00       5.985543018691e-01       5.975651716536e-01       7.272468944992e-05       9.719358794395e-05       9.720254160760e-05       9.720253379559e-05       7.162832021299e-05       9.713494891339e-05 
       4.396659939334e-04      -1.969887861382e+00      -1.523280423940e+00      -1.523293145961e+00      -1.286561408355e-01      -1.968156492183e+00      -1.507095834032e+00       5.984384841061e-01       5.974697115913e-01       7.742204500493e-05       1.065555557819e-04       1.065662435908e-04       1.065662341982e-04       7.612082448307e-05       1.064857656480e-04 
       4.603868138548e-04      -1.999467243730e+00      -1.554358444805e+00      -1.554373568936e+00      -1.294838015811e-01      -1.997410996494e+00      -1.537802289533e+00       5.983120868620e-01       5.973652709924e-01       8.216291371723e-05       1.168177798424e-04       1.168305265449e-04       1.168305152521e-04       8.062051628829e-05       1.167347971707e-04 
       4.820841759336e-04      -2.030788834769e+00      -1.588424457842e+00      -1.588442667073e+00      -1.303908423561e-01      -2.028348464818e+00      -1.571459192669e+00       5.981741493252e-01       5.972509810186e-01       8.688561418063e-05       1.280663741572e-04       1.280815700120e-04       1.280815564351e-04       8.505976221320e-05       1.279678136914e-04 
       5.048041031836e-04      -2.063829139524e+00      -1.625765696713e+00      -1.625787539582e+00      -1.313850236159e-01      -2.060936866813e+00      -1.608349623995e+00       5.980235489946e-01       5.971258006638e-01       9.151505641975e-05       1.403958613258e-04       1.404139603397e-04       1.404139440172e-04       8.935690959293e-05       1.402789338844e-04 
       5.285947876168e-04      -2.098530093860e+00      -1.666692732243e+00      -1.666718584689e+00      -1.324749263703e-01      -2.095108503397e+00      -1.648779578721e+00       5.978606213693e-01       5.969901356228e-01       9.596123834747e-05       1.539099818499e-04       1.539315119258e-04       1.539314923031e-04       9.341457093771e-05       1.537714378915e-04 
       5.535066924645e-04      -2.134800663435e+00      -1.711552104884e+00      -1.711582892367e+00      -1.336693879500e-01      -2.130758160785e+00      -1.693091046581e+00       5.976827520702e-01       5.968414493994e-01       1.001147411340e-04       1.687216552011e-04       1.687472461234e-04       1.687472225341e-04       9.711493747461e-05       1.685577313717e-04 
